id;raison_sociale;mobile;mail;latitude;longitude;type;categorie;adresse;code_postale;commune;telephone;internet;classement;marque;tourisme;;
263;Pizzeria Tesy;;;44.639202;-1.1155259;Restaurant;PizzeriaCuisine traditionnelleRestauration à  thème;16 avenue de Lattre de Tassigny ;33470;GUJAN-MESTRAS;+33 5 56 66 49 46;;;;;16 avenue de Lattre de Tassigny;
264;La Féria;;;44.615982;-1.0933971;Restaurant;Restauration à  thème;Lac de la Magdeleine chemin du Loup;33470;GUJAN-MESTRAS;+33 5 57 52 48 41;www.alaferia.frwww.gujanmestrasbassindesloisirs.com;;;;Lac de la Magdeleine;chemin du Loup
265;Le Bord'Haux;;;44.735065;-0.3595775;Restaurant;Cuisine traditionnelle;224 Grand Chemin ;33550;HAUX;+33 5 57 83 08 42;;;;;224 Grand Chemin;
266;La Brasserie du Port;;;45.18109;-1.0847496;Restaurant;Brasserie;résidence Babord 1 ;33990;HOURTIN;+33 5 56 09 14 66;;;Famille Plus;;résidence Babord 1;
267;Le Café du Port;;;45.181763;-1.0848999;Restaurant;BrasserieRestauration rapide;38  résidence Babord 1;33990;HOURTIN;+33 5 56 09 29 03;;;Famille Plus;;38; résidence Babord 1
268;Les Genèts 2;;;45.223244;-1.1678391;Restaurant;Cuisine traditionnellePizzeria;14  rue des Genèts;33990;HOURTIN;+33 5 56 09 10 41;;;;;14; rue des Genèts
269;Le Surf;;;45.22349;-1.169604;Restaurant;Cuisine traditionnellePizzeria;25  avenue Jean Lafitte;33990;HOURTIN;+33 5 56 09 11 39;www.le-surf-restaurant-hourtin.com;;;;25; avenue Jean Lafitte
270;Le Ty Mad;;;45.2148;-1.1260128;Restaurant;PizzeriaGrillCrèperie;9  avenue de la Marine;33990;HOURTIN;+33 5 56 09 13 70;www.tymad-restaurant-hourtin.fr;;Famille Plus;;9; avenue de la Marine
271;Le Cigalion;;;45.186207;-1.0833886;Restaurant;Restauration rapideBistrot / bar à  vinPizzeriaBrasserie;Les Moussaillons rue des Mascottes;33990;HOURTIN;+33 5 56 59 45 10;;;;;Les Moussaillons;rue des Mascottes
272;Le Grillon;;;45.223312;-1.1680161;Restaurant;Cuisine traditionnellePizzeria;13 avenue Jean Lafitte ;33990;HOURTIN PLAGE;+33 5 56 09 32 37;www.legrillonhourtin.fr;;Famille Plus;;13 avenue Jean Lafitte;
273;Pizzeria du Port;;;45.181736;-1.0848999;Restaurant;Pizzeria;place du port ;33990;HOURTIN PORT;+33 5 56 09 18 88;;;Famille Plus;;place du port;
274;Restaurant de la Gare;;;45.187187;-1.0639464;Restaurant;Cuisine traditionnellePizzeria;27 rue de la Gare ;33990;HOURTIN VILLAGE;+33 5 56 41 92 59;;;Famille Plus;;27 rue de la Gare;
275;Le Petit Caboulot;;;44.709282;-0.4780087;Restaurant;Cuisine traditionnelle;12  place de l'Eglise;33640;ISLE-SAINT-GEORGES;+33 5 56 72 68 92;www.lepetitcaboulot.com;;;;12; place de l'Eglise
276;Le Cercle;;;44.6811;-0.5275675;Restaurant;Brasserie;11 place Montesquieu ;33650;LA BREDE;+33 5 56 88 62 14;;;;;11 place Montesquieu;
277;Le Coin Sympa;;;44.68804;-0.5172908;Restaurant;BrasserieRestauration rapide;92 avenue Charles de Gaulle ;33650;LA BREDE;+33 5 56 68 17 08;;;;;92 avenue Charles de Gaulle;
278;La Table de Montesquieu;;;44.681137;-0.527373;Restaurant;Cuisine traditionnelle;place Saint Jean d'Estampe ;33650;LA BREDE;+33 5 56 78 52 91;www.latabledemontesquieu.fr;;;;place Saint Jean d'Estampe;
279;Le Philosophe;;;44.68205;-0.5274531;Restaurant;Cuisine traditionnelle;ZAC du Filleau 1;33650;LA BREDE;+33 5 56 91 20 58;;;;;ZAC du Filleau;1
280;Les Emportés du Piccolo;;;44.683563;-0.5206736;Restaurant;GrillBrasseriePizzeria;80 avenue du Général de Gaulle ;33650;LA BREDE;+33 5 56 20 08 38;;;;;80 avenue du Général de Gaulle;
281;Les Oliviers;;;44.58344;-0.0678491;Restaurant;Cafétéria;Centre commercial de Frimont ;33190;LA REOLE;+33 5 56 61 17 24;;;;;Centre commercial de Frimont;
282;L'Echoppe;;;44.582092;-0.0395464;Restaurant;Crèperie;14 rue Peysseguin ;33190;LA REOLE;+33 5 56 61 06 28;;;;;14 rue Peysseguin;
283;Le Minerai;;;44.579727;-0.0340621;Restaurant;CrèperieCuisine traditionnelle; café de la gare 14;33190;LA REOLE;+33 5 56 71 25 35;;;;; café de la gare;14
284;Les Fontaines;;;44.583595;-0.039207;Restaurant;Cuisine traditionnelle;8  rue de Verdun;33190;LA REOLE;+33 5 56 61 15 25;;;;;8; rue de Verdun
285;Les Quat'Sauces;;;44.581898;-0.0347375;Restaurant;Cuisine traditionnelle;53 avenue du Général Leclerc ;33190;LA REOLE;+33 5 56 71 22 99;;;;;53 avenue du Général Leclerc;
286;Le Tassigny;;;44.583748;-0.040256;Restaurant;Cuisine traditionnelleGrill;9  avenue de Lattre de Tassigny;33190;LA REOLE;+33 5 56 61 12 78;;;;;9; avenue de Lattre de Tassigny
287;Le Solendo;;;44.581947;-0.0395475;Restaurant;Pizzeria;60  rue Armand Caduc;33190;LA REOLE;+33 5 56 61 46 31;;;;;60; rue Armand Caduc
288;La Strada;;;44.5822;-0.036995;Restaurant;PizzeriaCuisine traditionnelle;place de la Libération ;33190;LA REOLE;+33 5 56 61 29 08;;;;;place de la Libération;
289;Le Shun-May;;;44.581947;-0.039548;Restaurant;Restauration à  thèmeRestauration rapide;58  rue Armand Caduc;33190;LA REOLE;+33 5 56 61 24 73;;;;;58; rue Armand Caduc
290;Spécialités Orientales;;;44.58223;-0.0369393;Restaurant;Restauration rapide;1  rue Armand Caduc;33190;LA REOLE;+33 9 50 47 07 55;;;;;1; rue Armand Caduc
291;Le Face à  l'Eau;;;44.93143;-0.3193214;Restaurant;Cuisine traditionnelleRestauration à  thème;8  port de Tressac Est;33126;LA RIVIERE;+33 5 57 24 97 10;;;;;8; port de Tressac Est
292;Chez les Zucc's;;;44.78598;0.2345757;Restaurant;Cuisine traditionnelle;2 La Croix ;33220;LA ROQUILLE;+33 5 57 46 58 31;www.chez-les-zuccs.com;;;;2 La Croix;
293;Le Relais;;;44.792572;0.23056268;Restaurant;Cuisine traditionnelle;23 le Bourg Ouest ;33220;LA ROQUILLE;+33 5 57 47 90 12;;;;;23 le Bourg Ouest;
294;Le Roof;;;44.617424;-1.1182062;Hôtel restaurant;Cuisine traditionnelle;960 avenue de l'Europe ;33260;LA TESTE-DE-BUCH;+33 5 57 15 22 20;www.qualityarcachon-spa.fr;;;;960 avenue de l'Europe;
295;Le Bistrot;;;44.63306;-1.1445065;Hôtel restaurant;Cuisine traditionnelle;3  avenue Charles de Gaulle;33260;LA TESTE-DE-BUCH;+33 5 57 15 11 11;www.le-bistrot-du-centre.com;;;;3; avenue Charles de Gaulle
296;La Vie de Châteaux;;;44.631863;-1.1467516;Restaurant;Bistrot / bar à  vinBrasserie;13  rue Pierre Dignac;33260;LA TESTE-DE-BUCH;+33 5 56 22 17 14;;;;;13; rue Pierre Dignac
297;Chez Steph;;;44.632774;-1.1455768;Restaurant;Brasserie;4  place Jean Hameau;33260;LA TESTE-DE-BUCH;+33 5 56 54 68 75;;;;;4; place Jean Hameau
298;Chez Gus;;;44.63069;-1.1465435;Restaurant;Brasserie;16 place Gambetta ;33260;LA TESTE-DE-BUCH;+33 5 57 52 34 07;;;;;16 place Gambetta;
299;L'Esquirey;;;44.63324;-1.1450672;Restaurant;Brasserie;1  rue du Port;33260;LA TESTE-DE-BUCH;+33 5 56 54 67 03;;;;;1; rue du Port
300;La Chapelle;;;44.63225;-1.1504852;Restaurant;BrasserieBistrot / bar à  vinRestauration rapide;marché municipal 1 rue des Halles;33260;LA TESTE-DE-BUCH;+33 5 57 52 40 68;;;;;marché municipal;1 rue des Halles
301;Café Ferrane;;;44.615337;-1.1236953;Restaurant;BrasserieCuisine traditionnelle;341 avenue Vulcain ;33260;LA TESTE-DE-BUCH;+33 5 56 22 64 77;;;;;341 avenue Vulcain;
302;Café Marius;;;44.635887;-1.152985;Restaurant;BrasserieCuisine traditionnelleRestauration rapide;Cap Océan ;33260;LA TESTE-DE-BUCH;+33 5 56 54 23 89;;;;;Cap Océan;
303;Le Bistrot du Marché;;;44.61152;-1.1471271;Restaurant;BrasserieRestauration rapide;boulevard des Miquelots ;33260;LA TESTE-DE-BUCH;+33 5 57 52 55 30;www.le-bistrot-du-marche.com;;;;boulevard des Miquelots;
304;Cafétéria Crescendo;;;44.635498;-1.1532211;Restaurant;Cafétéria;centre commercial Cap Océan rue Lagrua;33260;LA TESTE-DE-BUCH;+33 5 57 52 63 76;;;;;centre commercial Cap Océan;rue Lagrua
305;La Rieuse;;;44.6382;-1.1531352;Restaurant;CrèperiePizzeria;24 chemin Lagrua ;33260;LA TESTE-DE-BUCH;+33 5 57 15 63 52;;;;;24 chemin Lagrua;
306;La Table des Gourmets;;;44.60295;-1.1296176;Restaurant;Cuisine traditionnelle;Hippodrome du Bequet route de Cazaux;33260;LA TESTE-DE-BUCH;+33 5 56 54 10 27;;;;;Hippodrome du Bequet;route de Cazaux
307;Les Océanides;;;44.610146;-1.1184382;Restaurant;Cuisine traditionnelle;1270  avenue Gustave Eiffel;33260;LA TESTE-DE-BUCH;+33 5 56 22 23 14;www.restaurantlesoceanides.fr;;;;1270; avenue Gustave Eiffel
308;Restaumarché;;;44.610542;-1.1476421;Restaurant;Cuisine traditionnelle;Centre Commercial Les Miquelots boulevard des Miquelots;33260;LA TESTE-DE-BUCH;+33 5 56 54 75 60;wwww.restaumarche.com;;;;Centre Commercial Les Miquelots;boulevard des Miquelots
309;Restaurant du Golf 19;;;44.637756;-1.1721897;Restaurant;Cuisine traditionnelle;35  boulevard d'Arcachon;33260;LA TESTE-DE-BUCH;+33 5 57 52 68 00;www.restaurantdugolf19.com;;;;35; boulevard d'Arcachon
310;Restaurant du Port;;;44.638245;-1.1431789;Restaurant;Cuisine traditionnelle;2  avenue des Ostréiculteurs;33260;LA TESTE-DE-BUCH;+33 5 56 54 64 81;www.restaurantduport-lateste.com;;;;2; avenue des Ostréiculteurs
311;Le Cabanon;;;44.63883;-1.1194252;Restaurant;Cuisine traditionnelle;136  avenue Charles de Gaulle;33260;LA TESTE-DE-BUCH;+33 5 56 66 93 05;www.wix.com/loeildubassin/Restaurant-Le-Cabanon;;;;136; avenue Charles de Gaulle
312;La Brochette;;;44.636597;-1.1446809;Restaurant;Cuisine traditionnelleGrillPizzeria;41  rue du Port;33260;LA TESTE-DE-BUCH;+33 5 56 66 30 11;;;;;41; rue du Port
313;Robinson Crusoà«;;;44.61615;-1.1344027;Restaurant;Cuisine traditionnelleRestauration à  thème;6  avenue Binghamton;33260;LA TESTE-DE-BUCH;+33 5 56 54 77 27;www.crusoe.fr;;;;6; avenue Binghamton
314;Le Bouzin;;;44.640663;-1.155542;Restaurant;Cuisine traditionnelleRestauration à  thème;78  rue Lagrua;33260;LA TESTE-DE-BUCH;+33 5 57 73 67 00;;;;;78; rue Lagrua
315;Courtepaille;;;44.616776;-1.1390161;Restaurant;GrillCuisine traditionnelle;1  impasse du Bosquet;33260;LA TESTE-DE-BUCH;+33 5 57 15 20 00;www.courtepaille.com;;;;1; impasse du Bosquet
316;Domaine de la Forge;;;44.60484;-1.1106;Restaurant;GrillPizzeria;route de Sanguinet ;33260;LA TESTE-DE-BUCH;+33 5 56 66 07 72;www.domainedelaforge.com;;;;route de Sanguinet;
317;Quai Ouest;;;44.637833;-1.1426293;Restaurant;PizzeriaCuisine traditionnelleRestauration rapide;4 boulevard de Curepipe ;33260;LA TESTE-DE-BUCH;+33 5 57 15 78 81;;;;;4 boulevard de Curepipe;
318;La Pizzéria Artisanale;;;44.61558;-1.135565;Restaurant;PizzeriaRestauration rapide;2  avenue de Binghamton;33260;LA TESTE-DE-BUCH;+33 5 57 15 11 51;;;;;2; avenue de Binghamton
319;Martinella Pizza;;;44.632915;-1.1486721;Restaurant;PizzeriaRestauration rapide;32  rue Victor Hugo;33260;LA TESTE-DE-BUCH;+33 5 56 66 88 42;;;;;32; rue Victor Hugo
320;Pizza Testerine;;;44.638626;-1.1456894;Restaurant;PizzeriaRestauration rapide;7  avenue du Général Leclerc;33260;LA TESTE-DE-BUCH;+33 5 56 54 57 88;;;;;7; avenue du Général Leclerc
321;Le 501;;;44.61077;-1.1252188;Restaurant;PizzeriaRestauration rapideCuisine traditionnelle;501  avenue Gustave Eiffel;33260;LA TESTE-DE-BUCH;+33 5 57 15 38 28;;;;;501; avenue Gustave Eiffel
322;Asie Gourmande;;;44.634514;-1.1535966;Restaurant;Restauration à  thème;22  avenue de Verdun;33260;LA TESTE-DE-BUCH;+33 5 56 54 93 70;;;;;22; avenue de Verdun
323;New Gui Lin;;;44.637863;-1.1347889;Restaurant;Restauration à  thème;Centre Commercial Cap Océan ;33260;LA TESTE-DE-BUCH;+33 5 56 22 88 88;;;;;Centre Commercial Cap Océan;
324;Bodéga 502;;;44.638836;-1.1362266;Restaurant;Restauration à  thème;3 boulevard de Curepipe ;33260;LA TESTE-DE-BUCH;+33 5 57 15 77 65;;;;;3 boulevard de Curepipe;
325;La Pataterie;;;44.638153;-1.1543583;Restaurant;Restauration à  thèmeCuisine traditionnelle; rue Lagrua;33260;LA TESTE-DE-BUCH;+33 5 56 66 49 75;;;;;;rue Lagrua
326;Oh Sushi;;;44.63178;-1.1463194;Restaurant;Restauration rapide;3 rue du Général Castelnau ;33260;LA TESTE-DE-BUCH;+33 9 83 01 26 80;;;;;3 rue du Général Castelnau;
327;Le Baron One;;;44.637287;-1.151502;Restaurant;Restauration rapide;18 rue Lagrua ;33260;LA TESTE-DE-BUCH;+33 5 57 72 40 51;;;;;18 rue Lagrua;
328;Le Buffet du Port;;;44.636795;-1.1445736;Restaurant;Restauration rapide;43 rue du Port ;33260;LA TESTE-DE-BUCH;+33 6 12 78 92 14;;;;;43 rue du Port;
329;Mc Donald's;;;44.61647;-1.1359691;Restaurant;Restauration rapide;3  avenue de Binghamton;33260;LA TESTE-DE-BUCH;+33 5 56 54 12 12;;;;;3; avenue de Binghamton
330;Mc Donald's La Teste Océan;;;44.645267;-1.1571693;Restaurant;Restauration rapide;106  rue Lagrua;33260;LA TESTE-DE-BUCH;+33 5 56 22 26 22;;;;;106; rue Lagrua
331;Régal Pasta;;;44.616074;-1.113739;Restaurant;Restauration rapide;960 avenue de l'Europe Le Roof;33260;LA TESTE-DE-BUCH;+33 5 56 83 33 67;;;;;960 avenue de l'Europe;Le Roof
332;Sandwicherie XXL;;;44.6313;-1.1542294;Restaurant;Restauration rapide;rue du Baou ;33260;LA TESTE-DE-BUCH;+33 6 12 34 55 67;;;;;rue du Baou;
333;Raffa'Nelli;;;44.63385;-1.1394667;Restaurant;Restauration rapidePizzeria;61  avenue Charles de Gaulle;33260;LA TESTE-DE-BUCH;+33 5 57 73 07 01;www.raffanelli.fr;;;;61; avenue Charles de Gaulle
334;La Station Gourmande;;;44.63618;-1.131992;Restaurant;Restauration rapidePizzeria;122  avenue Charles de Gaulle;33260;LA TESTE-DE-BUCH;+33 5 56 66 24 14;;;;;122; avenue Charles de Gaulle
335;L'Italienne;;;44.6326;-1.1457577;Restaurant;Restauration rapidePizzeria;2  rue Pierre Dignac;33260;LA TESTE-DE-BUCH;+33 5 56 54 29 11;;;;;2; rue Pierre Dignac
336;La Gare Gourmande;;;45.02207;-0.6382878;Restaurant;Cuisine traditionnelle;3 route des Châteaux ;;LABARDE;+33 5 56 35 92 38;www.la-gare-gourmande.fr;;;;3 route des Châteaux;
337;Chez l'Australien;;;45.001484;-1.1987439;Restaurant;Brasserie;19 allée Pierre Ortal ;33210;LACANAU;+33 5 56 03 21 02;;;;;19 allée Pierre Ortal;
338;La Conche;;;44.96734;-1.1404806;Restaurant;Cuisine traditionnelle;allée du Club de Voile baie de la Grande Escoure;;LACANAU;+33 5 56 03 08 37;;;;;allée du Club de Voile;baie de la Grande Escoure
339;La Cuisine de l'Ardilouse;;;45.00081;-1.1711275;Hôtel restaurant;Cuisine traditionnelle;Domaine de l'Ardilouse ;;LACANAU OCEAN;+33 5 56 03 92 92;www.golf-hotel-lacanau.fr;;;;Domaine de l'Ardilouse;
340;L'Authentique;;;44.992027;-1.1713421;Hôtel restaurant;Cuisine traditionnelle;route du Baganais ;33210;LACANAU OCEAN;+33 5 56 03 91 00;www.vitalparc.com;;Famille Plus;;route du Baganais;
341;Le Patio;;;44.994823;-1.178863;Hôtel restaurant;Cuisine traditionnelle;route du Baganais ;;LACANAU OCEAN;+33 5 56 03 80 00;www.hotel-vitanova.com;;;;route du Baganais;
342;L'Imprévu;;;45.000694;-1.2013936;Hôtel restaurant;Cuisine traditionnelle;front de mer ;;LACANAU OCEAN;+33 5 56 03 11 11;www.hotel-oyat.com;;;;front de mer;
343;L'Equipage;;;45.00161;-1.1974936;Restaurant;Brasserie;5  avenue de l'Europe;33680;LACANAU OCEAN;+33 5 56 03 27 43;;;Famille Plus;;5; avenue de l'Europe
344;Le Kayoc;;;45.00134;-1.2018227;Restaurant;BrasserieCuisine traditionnelle;front de Mer ;Taussat;LACANAU OCEAN;+33 5 56 03 20 75;www.restaurant-kayoc-lacanau.com;;Famille Plus;;front de Mer;
345;Le Bistrot des Cochons;;;45.002472;-1.199001;Restaurant;Cuisine traditionnelle;1  rue du Docteur Darrigan;33680;LACANAU OCEAN;+33 5 56 03 15 61;;;;;1; rue du Docteur Darrigan
346;La Garluche;;;45.00066;-1.196689;Restaurant;Cuisine traditionnelle;12  avenue Henri Seguin;33680;LACANAU OCEAN;+33 5 57 70 82 25;;;Famille Plus;;12; avenue Henri Seguin
347;L'Assiette;;;45.002964;-1.2011843;Restaurant;Restauration à  thème;boulevard de la Plage ;33138;LACANAU OCEAN;+33 5 57 70 04 72;;;Famille Plus;;boulevard de la Plage;
348;La Tasca Bodega;;;45.002735;-1.1998802;Restaurant;Restauration à  thème;8  avenue Jules Ferry;33680;LACANAU OCEAN;+33 5 57 70 56 09;;;Famille Plus;;8; avenue Jules Ferry
349;La Canne à  Sucre;;;45.002;-1.1987328;Restaurant;Restauration à  thème;11  rue Sylvain Marian;33680;LACANAU OCEAN;+33 5 56 03 21 25;;;;;11; rue Sylvain Marian
350;L'Imprévu;;;45.088673;-0.16222;Restaurant;Cuisine traditionnelle;9 route de Coutras ;33300;LAGORCE;+33 5 57 48 59 72;;;;;9 route de Coutras;
351;Crèperie Les Coquelicots;;;44.742416;0.1587596;Restaurant;Crèperie;38  route des Terroirs;33790;LANDERROUAT;+33 5 56 71 26 82;;;;;38; route des Terroirs
352;Le Saint Martin;;;44.708595;-0.40082;Restaurant;Brasserie;5  place Aimé Gouzy;33550;LANGOIRAN;+33 5 56 32 70 31;;;;;5; place Aimé Gouzy
353;Claude Darroze;;;44.552937;-0.2466122;Hôtel restaurant;Cuisine traditionnelle;95  cours du Général Leclerc;33210;LANGON;+33 5 56 63 00 48;www.darroze.com;;Tables et Auberges de France;;95; cours du Général Leclerc
354;Le Tire Bouchon;;;44.545364;-0.2638848;Hôtel restaurant;Cuisine traditionnelle;6 rue des Bruyères ;33210;LANGON;+33 5 57 98 21 65;http://hotel-atlantis.fr;;;;6 rue des Bruyères;
355;Horus - Les Bruyères;;;44.545372;-0.263909;Hôtel restaurant;Cuisine traditionnelle;2  rue des Bruyères;33210;LANGON;+33 5 56 62 36 37;www.hotel-restaurant-horus-langon.com;3 cheminées2 cocottes;Qualité Tourisme;;2; rue des Bruyères
356;Au Langonnais;;;44.550358;-0.2447842;Restaurant;Cuisine traditionnelle;78  cours du Mal de Lattre de Tassigny;33210;LANGON;+33 5 56 76 27 75;;;;;78; cours du Mal de Lattre de Tassigny
357;Le Destiné;;;44.556446;-0.2511766;Restaurant;Cuisine traditionnelle;38 cours Sadi Carnot ;33210;LANGON;+33 5 56 63 51 83;;;;;38 cours Sadi Carnot;
358;La Table Bio;;;44.55493;-0.2471663;Restaurant;Cuisine traditionnelle;62  cours des Fossés;33210;LANGON;+33 5 56 76 25 66;;;;;62; cours des Fossés
359;La Madrague;;;44.55132;-0.2450735;Restaurant;PizzeriaCuisine traditionnelle;42  cours du Mal de Lattre de Tassigny;33210;LANGON;+33 5 56 62 26 73;;;;;42; cours du Mal de Lattre de Tassigny
360;Les Places;;;45.061375;-0.542945;Restaurant;Cuisine traditionnelle;5  rue les Places;33710;LANSAC;+33 5 57 68 24 26;http://restaurantlesplaces.monsite.orange.fr/index.jhtml;;;;5; rue les Places
361;L'Océana;;;44.71957;-1.0710647;Hôtel restaurant;Cuisine traditionnelle;7  avenue Guy Célérier;33138;LANTON;+33 5 56 82 06 20;www.oceana-hotel.fr;2 cocottes2 cheminées;;;7; avenue Guy Célérier
362;Café Le Baryton;;;44.703526;-1.0388922;Restaurant;Bistrot / bar à  vin;8 avenue Paul Gauguin ;33138;LANTON;+33 5 56 82 31 83;;;;;8 avenue Paul Gauguin;
363;Moules & Co;;;44.718582;-1.0696961;Restaurant;BrasserieCuisine traditionnelle;1  place de Courcy;33138;LANTON;+33 5 56 26 47 36;;;;;1; place de Courcy
364;La Bà»cherie;;;44.793037;-0.8743646;Restaurant;Cuisine traditionnelle;route du Cap Ferret Blagon;33138;LANTON;+33 5 56 82 05 48;;;;;route du Cap Ferret;Blagon
365;La Fagotière;;;44.74142;-1.0266803;Restaurant;Cuisine traditionnelle;route de Bordeaux Blagon;33138;LANTON;+33 5 56 82 08 00;;;;;route de Bordeaux;Blagon
366;Le Falbala;;;44.72174;-1.066899;Restaurant;Cuisine traditionnelle;20  boulevard Charles de Gaulle;33138;LANTON;+33 5 57 70 58 29;www.lefalbala.biz;;;;20; boulevard Charles de Gaulle
367;Restaurant Campanile Bordeaux Le Lac;;;44.89042;-0.5645125;Hôtel restaurant;Cuisine traditionnelle;Centre Hôtelier du Lac rue du Petit Barail;33000;BORDEAUX;+33 5 56 39 54 54;www.campanile-bordeaux-lelac.com;;;;Centre Hôtelier du Lac;rue du Petit Barail
368;Le Provençal;;;44.89042;-0.564512;Hôtel restaurant;Cuisine traditionnelle;rue du Petit Barail ;33000;BORDEAUX;+33 5 56 50 39 73;www.hotel-le-provencal.net;2 cheminées1 cocotte;Qualité Tourisme;;rue du Petit Barail;
369;La Brasserie l'Europe;;;44.842487;-0.5746039;Hôtel restaurant;Cuisine traditionnelleBrasserie;Grand Hotel de Bordeaux & Spa 41761;33000;BORDEAUX;+33 5 57 30 43 47;www.ghbordeaux.com;;;Handicap auditifHandicap mentalHandicap moteur;Grand Hotel de Bordeaux & Spa;41761
370;Café Brasserie Le B35;;;44.836224;-0.5826565;Hôtel restaurant;Cuisine traditionnelleBrasserie;Hôtel Ibis Bordeaux Mériadeck 35;33000;BORDEAUX;+33 5 56 90 74 00;;;;;Hôtel Ibis Bordeaux Mériadeck;35
371;K'Fé Lounge;;;44.839252;-0.586253;Hôtel restaurant;Cuisine traditionnelleBrasserie;Hôtel Mercure Bordeaux Centre 5;33000;BORDEAUX;+33 5 56 56 43 43;www.mercure.com;;;;Hôtel Mercure Bordeaux Centre;5
372;Le Mercure - Cité Mondiale de Congrès;;;44.850235;-0.5706567;Hôtel restaurant;Cuisine traditionnelleBrasserie;18  parvis des Chartrons;33000;BORDEAUX;+33 5 56 01 78 78;www.citemondiale.com;;;;18; parvis des Chartrons
373;Courtepaille Le Lac;;;44.889385;-0.5651307;Hôtel restaurant;Cuisine traditionnelleGrill;Hôtel Ibis Bordeaux Lac rue du Petit Barail;;BORDEAUX;+33 5 56 50 96 50;www.ibishotel.com;;;;Hôtel Ibis Bordeaux Lac;rue du Petit Barail
374;P'tit Québec Café;;;44.83501;-0.587269;Hôtel restaurant;Restauration à  thème;93  rue Eugène Jacquet;33000;BORDEAUX;+33 5 56 96 54 66;;;;;93; rue Eugène Jacquet
375;Le Café Brun;;;44.841373;-0.571901;Restaurant;Bistrot / bar à  vin;45  rue Saint Rémi;33000;BORDEAUX;+33 5 56 52 20 49;;;;;45; rue Saint Rémi
376;Café Bellini;;;44.84432;-0.5759346;Restaurant;Brasserie;15  allées de Tourny;33000;BORDEAUX;+33 5 56 51 15 11;wwww.cafebellini.fr;;;;15; allées de Tourny
377;Le 21;;;44.8437;-0.5772145;Restaurant;Brasserie;21  rue Mably;33000;BORDEAUX;+33 5 57 10 77 25;;;;;21; rue Mably
378;Gabriel & Albert;;;44.835026;-0.5648209;Restaurant;Brasserie;51  rue de la Fusterie;33000;BORDEAUX;+33 5 57 95 72 60;www.gabrieletalbert.fr;;;;51; rue de la Fusterie
379;Karl;;;44.840508;-0.5720474;Restaurant;Brasserie;6  place du Parlement;33000;BORDEAUX;+33 5 56 81 01 00;www.karlbordeaux.fr;;;;6; place du Parlement
380;Le Bistro du Sommelier;;;44.838825;-0.5887554;Restaurant;Brasserie;163  rue Georges Bonnac;33000;BORDEAUX;+33 5 56 96 71 78;www.bistrodusommelier.com;;;;163; rue Georges Bonnac
381;La Boîte à  Huîtres;;;44.842457;-0.5723456;Restaurant;Brasserie;36  cours du Chapeau Rouge;33000;BORDEAUX;+33 5 56 81 64 97;;;;;36; cours du Chapeau Rouge
382;Solena;;;44.840477;-0.5903559;Restaurant;Brasserie;5  rue Chauffour;33000;BORDEAUX;+33 5 57 53 28 06;www.solena-restaurant.com;;;;5; rue Chauffour
383;Le Café Pomme;;;44.838467;-0.5836486;Restaurant;BrasserieCafétéria;Centre Commercial Mériadeck rue du Château d'Eau;33000;BORDEAUX;+33 5 56 98 48 88;www.meriadeck.com;;;Handicap auditifHandicap mentalHandicap moteurHandicap visuel;Centre Commercial Mériadeck;rue du Château d'Eau
384;La Villa Tourny;;;44.84347;-0.5758815;Restaurant;BrasserieCuisine traditionnelle;20  allées de Tourny;33000;BORDEAUX;+33 5 56 44 60 48;;;;;20; allées de Tourny
385;Simeone Dell'Arte;;;44.838623;-0.5723003;Restaurant;BrasserieCuisine traditionnelle;10  place Camille Jullian;33000;BORDEAUX;+33 5 56 52 65 32;;;;;10; place Camille Jullian
386;Bistro Regent (Clemenceau);;;44.84205;-0.5795899;Restaurant;BrasserieCuisine traditionnelle;6 cours Georges Clémenceau ;33000;BORDEAUX;+33 5 56 44 90 00;www.bistro-regent.fr;;;;6 cours Georges Clémenceau;
387;Bistro Regent (Joffre);;;44.835026;-0.5783486;Restaurant;BrasserieCuisine traditionnelle;50  rue du Maréchal Joffre;33000;BORDEAUX;+33 5 56 44 90 00;www.bistro-regent.fr;;;;50; rue du Maréchal Joffre
388;Bistro Regent (Saint Rémi);;;44.84124;-0.5731872;Restaurant;BrasserieCuisine traditionnelle;53  rue Saint Rémi;33000;BORDEAUX;+33 5 56 44 90 00;www.bistro-regent.fr;;;;53; rue Saint Rémi
389;Brasserie Le Passage St Michel;;;44.833855;-0.5659782;Restaurant;BrasserieCuisine traditionnelle;14-15 place Canteloup ;33000;BORDEAUX;+33 5 56 91 20 30;www.lepassagesaintmichel.com;;;;14-15 place Canteloup;
390;Café Français;;;44.837997;-0.5777064;Restaurant;BrasserieCuisine traditionnelle;41795  place Pey Berland;33000;BORDEAUX;+33 5 56 52 96 69;;;;;41795; place Pey Berland
391;Café Napoléon 3;;;44.843166;-0.5744004;Restaurant;BrasserieCuisine traditionnelle;6 bis  cours du XXX Juillet;33000;BORDEAUX;+33 5 56 81 52 26;www.cafenapoleon3.com;;Maître Restaurateur;;6 bis; cours du XXX Juillet
392;Café Opéra;;;44.842415;-0.5743199;Restaurant;BrasserieCuisine traditionnelle;2  place de la Comédie;33000;BORDEAUX;+33 5 56 44 07 00;www.jegher.fr;;;;2; place de la Comédie
